,Company name Latin alphabet,"NACE Rev. 2, core code (4 digits)",Last avail. year,"Operating revenue (Turnover)
th USD Last avail. yr","Number of employees
Last avail. yr","Operating revenue (Turnover)
m EUR Last avail. yr","Operating revenue (Turnover)
m USD Last avail. yr","Operating revenue (Turnover)
m EUR Year - 1","Operating revenue (Turnover)
m EUR Year - 2","Number of employees
Last avail. yr","Number of employees
Year - 1","Number of employees
Year - 2","EBITDA
th EUR Last avail. yr","EBITDA
th EUR Year - 1","EBITDA
th EUR Year - 2","EBITDA
th USD Year - 2","Operating profit (loss) [EBIT]
th EUR Last avail. yr","Operating profit (loss) [EBIT]
th EUR Year - 1","Operating profit (loss) [EBIT]
th EUR Year - 2",Entity type,"Geographic segment - Sales
m EUR","Geographic segment - Sales
m USD","Export revenue
th EUR Last avail. yr","Export revenue
th USD Last avail. yr","Export revenue
th EUR Year - 1","Export revenue
th USD Year - 1","Export revenue
th EUR Year - 2","Export revenue
th USD Year - 2","Export revenue / Operating revenue
Last avail. yr","Export revenue / Operating revenue
Year - 1","Export revenue / Operating revenue
Year - 2"
39.,ALMAMEAT SL.,1011,2024,"105,321",147,101,105,80,52,147,172,127,"3,682","4,280","3,749","3,999","2,246","2,843","2,522",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
40.,"RIBASABORES - INDUSTRIA DE CARNES, LDA",1011,2024,"104,003",147,100,104,97,77,147,157,152,"5,525","5,335","4,223","4,504","3,946","3,767","2,722",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
41.,PROTOS AB,1011,2024,"103,884",143,100,104,98,81,143,138,96,917,345,"2,206","2,353",884,276,"2,162",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
42.,KIPCO - DAMACO,1011,2024,"103,862",69,93,104,125,123,69,73,63,114,"-1,581","1,661","1,726",-643,"-2,847",518,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
43.,CAMPODULCE CURADOS SAU.,1011,2024,"103,405",37,100,103,92,83,37,37,36,"4,487","6,763","4,677","4,988","4,459","6,747","4,661",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
44.,INDUSTRIA AVICOLA SURENA SL,1012,2024,"102,966",139,99,103,93,83,139,142,139,"12,930","9,790","4,749","5,065","11,166","8,134","3,112",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
45.,ABATTOIRS DES CRETS,1011,2024,"102,447",141,99,102,97,89,141,n.a.,n.a.,"7,505","2,306","5,016","5,350","6,403","1,590","4,364",Controlled subs.,n.a.,n.a.,"9,299","9,661","9,171","10,134","9,044","9,646",9.43,9.50,10.19
46.,FRANK BIRD (POULTRY) LIMITED,1012,2024,"102,313",213,98,102,91,86,213,206,203,"9,118","1,151","1,163","1,260","8,610",770,840,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
47.,SWAEGERS & CO,1011,2024,"102,283",33,98,102,97,95,33,34,32,"2,807","1,435","1,338","1,428","2,558","1,234","1,182",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
48.,VINALS SOLER SL,1011,2024,"101,631",171,98,102,83,71,171,181,165,"2,601","2,211",640,683,"1,924","1,555",1,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
49.,NAAPURIN MAALAISKANA OY,1012,2024,"101,079",324,97,101,81,76,324,273,260,"5,926","5,579","1,015","1,083","2,037","2,329","-2,214",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
50.,"CAMPOAVES - AVES DO CAMPO, S.A.",1012,2024,"100,993",307,97,101,71,62,307,162,114,"9,415","5,649","3,539","3,775","8,918","4,625","2,493",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
51.,AVICOLA ALIMENTARE MONTEVERDE S.R.L.,1012,2024,"100,892",74,97,101,99,101,74,72,69,"2,350","1,839","2,574","2,745","1,313",904,"1,633",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
52.,"AVIMECC, S.P.A.",1012,2024,"100,581",204,97,101,88,83,204,196,182,"4,377","5,198","4,878","5,202",940,"1,278","1,328",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
53.,MIES - POL JONCZYK SP.K.,1011,2024,"99,970",117,96,100,8,n.a.,117,111,n.a.,163,118,n.a.,n.a.,163,118,n.a.,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
54.,"PANVITA, MESNA INDUSTRIJA RADGONA D.D.",1011,2024,"99,843",361,96,100,95,86,361,353,342,"3,351","2,344","3,970","4,235",444,-348,"1,701",Controlled subs.,n.a.,n.a.,"7,386","7,673","6,967","7,698","5,991","6,390",7.69,7.35,6.97
55.,PADANIA SRL,1011,2024,"99,290",57,96,99,101,86,57,55,47,"1,782","2,083","2,478","2,643","1,116","1,556","2,040",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
56.,CENTRAL DE CARNES MADRID NORTE SA,1011,2024,"97,837",203,94,98,85,81,203,215,191,"3,532","3,156","3,089","3,295","2,472","2,264","2,273",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
57.,ARTUS II SP. Z O.O.,1011,2024,"96,975",30,93,97,86,77,30,30,31,496,142,"1,795","1,914",141,-166,"1,626",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
58.,SCOTBEEF INVERURIE LIMITED,1011,2022,"96,277",155,91,96,90,78,155,164,166,489,731,524,635,403,636,402,Controlled subs.,n.a.,n.a.,"4,943","5,249","1,369","1,534","1,073","1,301",5.45,1.53,1.37
59.,SEDAR S.A.,1012,2024,"96,080",341,92,96,95,87,341,368,328,"7,668","8,772","5,194","5,540","5,073","6,368","3,745",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
60.,NUTRECO BELGIUM,1012,2024,"95,985",80,92,96,89,98,80,80,76,"2,320","3,052","3,931","4,193","1,432","2,298","3,135",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
61.,NAGYHEGYES HUS KERESKEDELMI ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG,1011,2024,"95,204",304,92,95,81,46,304,304,263,"1,038",195,"1,114","1,188",6,-786,453,Independent co,n.a.,n.a.,"32,376","33,636","22,182","24,511","2,004","2,137",35.33,27.49,4.31
62.,TONNIES FLEISCH ITALIA S.R.L.,1011,2024,"95,120",76,92,95,66,58,76,39,22,"2,744","3,095","2,478","2,643",-612,"1,143","1,614",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
63.,A.K. STODDART LIMITED,1011,2024,"95,051",209,91,95,71,66,209,202,205,"-1,581",330,"1,292","1,341","-1,903",29,989,Controlled subs.,n.a.,n.a.,"10,770","11,189","8,492","9,283","8,059","8,362",11.77,11.95,12.12
64.,MANIFESTO FOODS LTD,1011,2024,"95,051",209,91,95,71,66,209,206,207,"-1,836",332,"2,060","2,138","-2,030",-110,"1,616",Controlled subs.,n.a.,n.a.,"10,770","11,189","8,492","9,283","8,059","8,362",11.77,11.95,12.12
