,Company name Latin alphabet,"NACE Rev. 2, core code (4 digits)",Last avail. year,"Operating revenue (Turnover)
th USD Last avail. yr","Number of employees
Last avail. yr","Operating revenue (Turnover)
m EUR Last avail. yr","Operating revenue (Turnover)
m USD Last avail. yr","Operating revenue (Turnover)
m EUR Year - 1","Operating revenue (Turnover)
m EUR Year - 2","Number of employees
Last avail. yr","Number of employees
Year - 1","Number of employees
Year - 2","EBITDA
th EUR Last avail. yr","EBITDA
th EUR Year - 1","EBITDA
th EUR Year - 2","EBITDA
th USD Year - 2","Operating profit (loss) [EBIT]
th EUR Last avail. yr","Operating profit (loss) [EBIT]
th EUR Year - 1","Operating profit (loss) [EBIT]
th EUR Year - 2",Entity type,"Geographic segment - Sales
m EUR","Geographic segment - Sales
m USD","Export revenue
th EUR Last avail. yr","Export revenue
th USD Last avail. yr","Export revenue
th EUR Year - 1","Export revenue
th USD Year - 1","Export revenue
th EUR Year - 2","Export revenue
th USD Year - 2","Export revenue / Operating revenue
Last avail. yr","Export revenue / Operating revenue
Year - 1","Export revenue / Operating revenue
Year - 2"
269.,NABA CARNI - NUOVA AZIENDA BRESCIANA ALIMENTARI CARNI - S.P.A.,1011,2024,"41,773",76,40,42,39,43,76,80,78,426,"-2,146","-1,554","-1,657",-65,"-2,642","-2,118",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
270.,I H FOODS LIMITED,1011,2024,"41,500",105,38,42,40,18,105,117,105,180,497,"1,333","1,428",45,358,"1,196",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
271.,"MAPORAL - MATADOURO DE PORCO DE RACA ALENTEJANA, S.A.",1011,2024,"41,184",68,40,41,34,14,68,70,45,"2,088",766,-197,-210,787,464,-391,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
272.,SVS 98,1012,2024,"41,130",107,40,41,27,26,107,109,109,n.a.,n.a.,964,"1,028",n.a.,n.a.,588,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
273.,ZAKLAD PRZETWORSTWA MIESNEGO SLAWA SP. Z O.O.,1011,2024,"41,123",221,40,41,35,33,221,235,306,"5,239","2,286","2,813","3,000","4,481","1,477","2,021",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
274.,WESTERN BRAND POULTRY PRODUCTS (NI) LTD,1012,2024,"40,884",172,39,41,40,37,172,160,166,"5,483","6,258","5,652","6,029","5,137","5,891","5,082",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
275.,SALUMIFICIO SORRENTINO SRL,1011,2024,"40,738",40,39,41,41,36,40,41,44,"4,542","5,544","3,739","3,988","3,345","4,761","3,042",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
276.,ESCORXADOR FRIGORIFIC D'OSONA SA,1011,2022,"40,564",208,38,41,33,31,208,201,196,"6,469","5,845","5,313","6,520","1,880","1,637","1,809",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
277.,"FARUNI - FARINHAS E PROTEINA ANIMAL, LDA",1012,2024,"40,349",52,39,40,41,44,52,48,42,"2,654","5,726","10,213","10,894","1,409","5,076","9,858",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
278.,LANSI-KALKKUNA OY,1012,2024,"40,089",158,39,40,40,39,158,155,151,19,114,33,35,19,114,33,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
279.,ROYAL HUS IPARI - KERESKEDELMI - SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG,1011,2024,"39,783",49,38,40,39,30,49,47,48,598,394,519,553,419,194,323,Independent co,n.a.,n.a.,967,"1,004",490,541,99,106,2.53,1.27,0.33
280.,CHEVIDECO,1011,2024,"39,593",31,38,40,35,37,31,32,34,942,668,-889,-948,691,442,"-1,135",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
281.,DELTA GROUP AGROALIMENTARE S.P.A.,1012,2024,"39,419",34,38,39,37,17,34,31,31,"1,908","1,650","1,042","1,111",880,863,501,GUO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
282.,UBOJNIA DROBIU LESZEK I JERZY SMOLAREK SP.J.,1012,2024,"39,403",75,38,39,33,28,75,72,74,"2,345",-265,478,510,"1,882",-686,159,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
283.,ETABLISSEMENTS GUY HARANG,1011,2023,"39,373",108,36,39,32,28,108,119,128,"-1,752","-1,414",-959,"-1,086","-2,310","-1,805","-1,255",Controlled subs.,n.a.,n.a.,"1,825","2,016","1,548","1,651","1,867","2,114",5.12,4.78,6.69
284.,F&B DISTRIBUZIONE SRL,1011,2025,"39,350",34,34,39,10,7,34,55,23,"1,521","1,098",527,573,"1,011",710,522,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
285.,OVIGAR GANADOS DE LEON SOCIEDAD LIMITADA.,1011,2023,"39,348",33,36,39,37,38,33,33,37,"1,286","1,105",568,644,"1,011",873,568,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
286.,ARTERIMPEX SRL,1011,2024,"39,329",490,38,39,33,25,490,457,395,"3,785","3,117","1,656","1,767","2,628","2,104",836,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
287.,VANDERPOORTEN,1011,2025,"39,270",21,34,39,34,33,21,20,21,645,-22,744,809,357,-333,428,Single location,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
288.,MARIA DEL TURA FEIXAS SA,1011,2023,"39,228",65,36,39,34,22,65,66,62,981,850,617,699,504,440,250,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
289.,OPES HOLDING S.A.,1011,2023,"39,151",27,35,39,22,19,27,30,30,"16,049","4,707","1,297","1,469","15,241","4,263","1,126",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
290.,FINEST MEAT SP. Z O.O.,1012,2024,"39,037",51,38,39,28,13,51,56,40,"1,096",819,246,263,815,582,187,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
291.,OLOT MEATS SA.,1011,2024,"38,895",81,37,39,39,39,81,76,75,"3,806","8,170","5,199","5,545",103,"4,538","2,264",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
292.,MAVRIDOPOULOS S.A.,1011,2024,"38,884",100,37,39,34,29,100,100,100,916,"1,402",592,632,643,"1,144",367,Single location,n.a.,n.a.,"11,230","11,667","10,291","11,372","8,847","9,436",30.00,30.00,30.00
293.,INTEGRAL ELELMISZERIPARI ES KERESKEDELMI ZARTKORUEN MUKODO RESZVENYTARSASAG,1012,2024,"38,699",475,37,39,43,31,475,443,450,184,"1,613","2,056","2,193",184,"1,613","2,056",Independent co,n.a.,n.a.,"12,722","13,217","18,315","20,238","12,363","13,186",34.15,42.61,39.69
294.,"AWRA GROUP A.SZYMKOWIAK, SZ.SZYMKOWIAK I R.NOWICKI SP.K.",1012,2024,"38,628",96,37,39,36,32,96,114,112,"3,589","1,092","2,908","3,102","2,327",150,"2,019",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
295.,MM MESNA INDUSTRIJA D.O.O.,1011,2024,"38,533",182,37,39,38,31,182,182,177,"1,444","1,524","1,476","1,574",865,922,"1,110",GUO,n.a.,n.a.,"3,833","3,982","4,061","4,487","3,534","3,769",10.33,10.64,11.36
296.,THE FARMCHIX COMPANY,1012,2024,"38,435",66,37,38,38,n.a.,66,60,55,"3,202","2,245","1,074","1,047","1,518",615,28,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
297.,MARIBO PRODCARN SRL,1011,2024,"38,345",323,37,38,41,40,323,362,455,"1,104","1,246","-1,745","-1,861","1,101",997,"-2,276",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
298.,EMBAJADORES MADRID SL.,1011,2024,"38,295",46,37,38,34,15,46,46,26,"2,227","2,056",627,669,"1,378","1,210",343,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
299.,WESTPOL-TEEUWISSEN SP. Z O.O.,1011,2024,"38,272",305,37,38,66,69,305,335,340,"-4,907",694,"2,728","2,909","-5,920",-310,"1,576",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
300.,SLICING PACKING FUN & MANY MORE,1011,2024,"38,240",72,37,38,37,32,72,75,82,"1,546",641,140,149,966,72,-406,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
301.,DONALD RUSSELL LIMITED,1011,2024,"38,148",173,37,38,34,40,173,185,219,"-2,706","-2,171","-3,098","-3,304","-3,729","-2,929","-3,928",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
302.,MARCEL SRL,1011,2024,"38,058",255,37,38,34,30,255,257,228,"6,302","3,990","3,977","4,241","5,107","2,746","2,817",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
303.,BAT-GRILL BAROMFIFELDOLGOZO KERESKEDELMI ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG,1012,2024,"37,903",219,36,38,35,32,219,205,196,"6,471","3,111","4,006","4,272","4,950","1,663","2,984",GUO,n.a.,n.a.,"15,119","15,707","14,451","15,968","13,516","14,416",41.44,40.87,42.27
304.,POULTRY BRASOV S.R.L.,1012,2024,"37,810",280,36,38,33,39,280,0,284,315,-444,776,827,-513,"-1,347",216,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
305.,EKPOLS SP. Z O.O.,1012,2024,"37,806",75,36,38,33,39,75,76,71,553,281,713,760,290,26,469,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
306.,PT SERVIS KONZERVARNA SPOL. S R.O.,1011,2023,"37,787",248,34,38,24,23,248,153,157,"1,380","1,198","1,092","1,339","1,030",881,729,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
307.,PRZEDSIEBIORSTWO PRODUKCYJNE USLUGOWO-HANDLOWE PROSPER SP. Z O.O.,1012,2024,"37,761",100,36,38,39,41,100,112,115,397,-903,"1,930","2,058",-54,"-1,267","1,655",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
308.,MECKLENBURGER LANDPUTE GMBH,1012,2024,"37,398",257,36,37,33,29,257,248,242,"2,893","2,241","2,183","2,328","1,696",974,515,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
309.,RAB JAZYNIEC ADAM MODER BOGUSLAW JOZWIKOWSKI SP.J.,1012,2024,"37,305",24,36,37,33,45,24,22,23,"1,715","1,763","1,290","1,376",404,597,348,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
310.,LA.BU.NAT. S.R.L.,1011,2024,"37,210",82,36,37,51,58,82,84,77,"-1,166",-614,"6,025","6,426","-2,279","-1,693","5,117",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
311.,SLAKTEHUSET EIDSMO DULLUM AS,1011,2024,"37,106",76,36,37,35,34,76,92,91,855,"1,066","1,086","1,159",741,958,986,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
312.,KRAS MESNOPREDELOVALNA INDUSTRIJA D.O.O.,1011,2024,"37,089",154,36,37,33,32,154,155,156,"2,388","4,186","6,085","6,490","1,485","3,393","5,311",Controlled subs.,n.a.,n.a.,"4,582","4,760","3,326","3,675","2,600","2,773",12.83,9.93,8.13
313.,MAXIME PRIME S.R.L.,1011,2024,"36,792",241,35,37,40,33,241,269,204,540,n.a.,n.a.,n.a.,539,131,20,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
314.,FRAMON - S.P.A.,1011,2024,"36,719",24,35,37,35,31,24,22,21,"1,997","2,001","1,971","2,102","1,436","1,316","1,275",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
315.,LAFITTE,1012,2024,"36,703",155,35,37,31,22,155,n.a.,150,"1,300",511,-207,-221,441,-349,"-1,049",Independent co,n.a.,n.a.,"3,771","3,917","3,424","3,784","2,453","2,617",10.67,11.19,10.99
316.,NEW WORLD FOODS (EUROPE) LIMITED,1011,2024,"36,647",165,34,37,35,28,165,153,124,"1,488","3,196","1,520","1,653",774,"2,498","1,096",Controlled subs.,n.a.,n.a.,"5,454","5,899","4,766","5,153","4,751","5,166",16.10,13.81,16.99
317.,AGROPROD CRASNA COOPERATIVA AGRICOLA,1012,2024,"36,583",285,35,37,34,31,285,275,246,"1,935","1,340","1,083","1,155",828,519,371,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
318.,ZAKLADY MIESNE BRADO-2 S.A.,1012,2024,"36,566",168,35,37,31,33,168,161,169,"1,276",865,"2,059","2,196",357,199,"1,512",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
319.,LONKI,1011,2024,"36,508",67,35,37,39,39,67,66,70,-779,-27,288,307,"-1,093",-384,-60,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
320.,HAJDUHUS 2000 KERESKEDELMI ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG,1011,2024,"35,860",196,35,36,41,31,196,224,198,"1,279","2,225","1,037","1,106",178,"1,112",232,Controlled subs.,n.a.,n.a.,"8,861","9,206","6,735","7,442","5,469","5,833",25.67,16.61,17.57
321.,JELUX POLSKA SP. Z O.O.,1011,2024,"35,802",107,34,36,37,40,107,99,107,"3,748","2,327","2,916","3,111","3,512","2,072","2,801",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
322.,NORILIA AS,1011,2024,"35,521",55,34,36,37,36,55,55,59,"2,405","2,081","1,865","1,989","1,949","1,624","1,385",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
323.,"SEARA, S.A.",1011,2024,"35,434",211,34,35,29,25,211,199,206,"1,363",170,"-1,162","-1,240",607,-530,"-1,960",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
324.,MULTIMES GROUP,1011,2024,"35,015",63,34,35,46,49,63,66,81,n.a.,"1,789","1,792","1,911",n.a.,"1,546","1,603",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
325.,AGII SP. Z O.O.,1011,2024,"35,000",96,34,35,39,43,96,81,71,"2,723","1,315","4,454","4,751","2,294",987,"3,977",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
326.,HI RUNGIS PLUS DUPAS,1011,2024,"34,970",63,34,35,32,29,63,n.a.,n.a.,"1,148",640,314,334,846,368,67,Controlled subs.,n.a.,n.a.,2,3,159,176,83,88,0.01,0.50,0.28
327.,GRUPPO LOMA S.R.L.,1011,2024,"34,961",23,34,35,30,14,23,23,23,434,112,102,109,370,58,51,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
328.,THE PINK PIG SOCIEDAD ANONIMA,1011,2024,"34,620",212,33,35,32,29,212,214,183,100,738,-961,"-1,026",-118,508,"-1,183",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
329.,LOSKE MESNINE D.O.O.,1011,2024,"34,573",106,33,35,30,31,106,n.a.,93,489,525,528,563,115,100,150,Controlled subs.,n.a.,n.a.,"32,638","33,908","29,349","32,431","29,857","31,845",98.08,97.71,97.69
330.,WOODHEAD BROTHERS,1011,2025,"34,494",300,29,34,n.a.,n.a.,300,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
331.,EIFELFLEISCH GMBH,1011,2024,"34,454",27,33,34,11,11,27,30,27,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
332.,FARMEX SP. Z O.O.,1012,2024,"34,430",51,33,34,31,30,51,52,51,394,53,219,233,215,-103,78,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
333.,ROSSO SP. Z O.O.,1011,2024,"34,396",24,33,34,3,n.a.,24,24,n.a.,191,-345,-1,-2,98,-358,-1,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
334.,EFETURK SP. Z O.O.,1011,2024,"34,353",39,33,34,24,21,39,n.a.,n.a.,215,306,898,958,156,259,877,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
335.,"WYROB WEDLIN TRADYCYJNYCH WOLAREK B.WOLAREK, W.WOLAREK SP.J.",1011,2024,"34,289",89,33,34,30,25,89,84,87,"8,763","6,756","6,058","6,462","8,260","6,319","5,676",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
336.,NASZ DROB SP. Z O.O.,1012,2024,"34,199",58,33,34,29,28,58,59,60,"1,866",-391,290,309,"1,456",-714,-6,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
337.,THEO BAUWENS,1011,2024,"34,194",112,33,34,36,34,112,117,117,"1,429",712,"1,249","1,332",491,-151,519,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
338.,FIRMA HANDLOWO-PRODUKCYJNA JANAS SP.J.,1012,2024,"34,130",125,33,34,34,24,125,130,126,702,815,591,630,357,496,271,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
339.,FERRARINI SP. Z O.O.,1011,2024,"33,862",74,33,34,25,19,74,72,58,436,184,650,693,203,-63,400,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
340.,GALLIANCE NUEIL,1012,2024,"33,681",225,32,34,28,27,225,n.a.,n.a.,"1,523","1,482","1,555","1,658",197,123,26,Controlled subs.,n.a.,n.a.,0,0,0,0,0,0,0.00,0.00,0.00
341.,HAA KYLLING AS,1012,2024,"33,650",71,32,34,30,27,71,73,67,"1,583",946,930,992,"1,138",456,507,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
342.,BOSZORMENYI BAROMFIFELDOLGOZO TERMELO ES SZOLGALTAO KORLATOLT FELELOSSEGU TARSASAG,1012,2024,"33,537",169,32,34,29,27,169,169,221,"3,506","1,324","2,795","2,981","2,347",155,"1,708",GUO,n.a.,n.a.,"2,851","2,962",904,999,915,976,8.83,3.11,3.34
343.,GYULAHUS KORLATOLT FELELOSSEGU TARSASAG,1011,2024,"33,409",360,32,33,31,26,360,354,359,"2,171",868,"1,423","1,518","1,189",-83,669,Independent co,n.a.,n.a.,"6,131","6,369","5,422","5,991","5,148","5,491",19.06,17.34,19.81
344.,OWEN TAYLOR AND SONS LIMITED,1011,2024,"33,189",167,32,33,31,27,167,170,154,"2,099","2,253","2,479","2,685","1,717","1,964","2,294",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
345.,VIANDE DE LA MARCHE,1011,2024,"33,063",41,32,33,45,56,41,44,47,"-1,430",-866,"-1,276","-1,361","-1,537",-992,"-1,439",Controlled subs.,n.a.,n.a.,"1,907","1,981","16,805","18,570","26,806","28,591",5.99,37.23,47.55
346.,UBOJNIA DROBIU ELCZAR SP.J. ELZBIETA I CEZARY ZAWISLAK,1012,2024,"32,865",90,32,33,27,29,90,94,104,884,321,884,943,685,108,624,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
347.,BRAND T BURGER SA.,1011,2024,"32,593",26,31,33,32,33,26,26,16,"1,625","1,486","2,030","2,165","1,478","1,353","1,922",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
348.,S.I.B.C.A.S.,1011,2024,"32,492",41,31,32,30,31,41,n.a.,49,449,249,907,968,74,-96,543,Controlled subs.,n.a.,n.a.,0,0,0,0,0,0,0.00,0.00,0.00
349.,HCF POULTRY LIMITED,1012,2024,"32,484",147,30,32,29,25,147,149,145,"1,100","1,047",921,"1,001",334,298,114,Independent co,n.a.,n.a.,"3,343","3,615","8,851","9,569","7,874","8,563",11.13,30.96,31.47
350.,UAB AGARAS,1011,2024,"32,445",166,31,32,31,32,166,159,168,-268,-66,-534,-570,-268,-66,-534,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
351.,MEAT HOUSE ROMANIA S.R.L.,1011,2024,"32,326",78,31,32,32,22,78,0,66,598,-596,-260,-277,221,-986,-715,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
352.,ANDROMI COM SRL,1011,2024,"32,295",241,31,32,32,33,241,208,228,"2,437","2,460","2,625","2,800","1,504","1,668","2,021",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
353.,ELITE FOOD SP. Z O.O.,1012,2024,"32,287",41,31,32,24,25,41,38,50,"2,483","2,301","1,990","2,122","1,567","1,446","1,400",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
354.,"CARNES RUI OLIVEIRA, UNIPESSOAL, LDA",1011,2024,"32,078",33,31,32,31,25,33,32,31,664,414,651,695,525,289,518,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
355.,VAN HESSEN BELGIUM OPERATIONS,1011,2024,"31,090",40,30,31,42,39,40,37,29,"1,157","2,249","3,987","4,252",746,"1,813","3,576",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
356.,GOLDEN BAKE LIMITED,1011,2024,"30,960",146,30,31,26,22,146,129,130,"4,002","4,044","3,327","3,549","2,788","3,403","2,710",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
357.,MROZ S.A.,1011,2024,"30,881",242,30,31,32,35,242,242,242,808,597,"2,073","2,211",-739,-912,707,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
358.,MATADERO GENERAL Y FRIGORIFICO BAIXO MINO SL,1011,2024,"30,769",43,30,31,27,27,43,46,46,248,"-1,048",265,283,122,"-1,155",172,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
359.,EXPORTSLACHTHUIS DE COSTER,1011,2024,"30,747",49,30,31,39,54,49,47,46,"2,139","3,254","2,901","3,094",120,"1,325","1,030",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
360.,FIRMA PRODUKCYJNO-HANDLOWA HYBRO SP. Z O.O.,1012,2024,"30,660",63,30,31,27,29,63,65,55,792,649,"1,161","1,238",658,520,"1,095",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
361.,ZAKLADY MIESNE BRAT-POL SP. Z O.O.,1011,2024,"30,222",62,29,30,32,28,62,69,75,-119,658,"-1,040","-1,109",-255,517,"-1,183",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
362.,LES FERMIERS OCCITANS,1012,2025,"30,184",85,26,30,26,28,85,107,120,"-2,444","-3,491","-1,053","-1,144","-3,128","-4,241","-1,807",Controlled subs.,n.a.,n.a.,46,54,248,265,772,839,0.18,0.95,2.75
363.,VIANDE VALLES GRUP S.L.L.,1011,2024,"29,974",750,29,30,28,26,750,733,706,-87,-5,-13,-14,-89,-8,-17,Single location,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
364.,ARTUS WINNICA SP. Z O.O.,1011,2024,"29,957",60,29,30,20,1,60,n.a.,26,440,212,-139,-149,394,189,-141,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
365.,ZAKLAD MIESNY SMOLINSKI SP. Z O.O.,1011,2024,"29,957",232,29,30,31,28,232,246,253,907,512,901,961,907,512,901,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
